id,vaccines,tests,confirmed,recovered,deaths,hosp,vent,icu,population,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,stringency_index,iso_alpha_3,iso_alpha_2,iso_numeric,currency,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,key,key_apple_mobility,key_google_mobility
JPN,,165609.0,14088.0,2073.0,288.0,11727.0,,308.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,174150.0,14281.0,2407.0,306.0,11568.0,,328.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,181527.0,14544.0,2528.0,314.0,11702.0,,324.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,183251.0,14839.0,2643.0,327.0,11869.0,,321.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,184586.0,15057.0,2734.0,355.0,11968.0,,308.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,186343.0,15231.0,2784.0,369.0,12080.0,,309.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,188927.0,15354.0,3094.0,384.0,11876.0,,308.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,190030.0,15463.0,3289.0,390.0,11785.0,,300.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,202013.0,15547.0,3710.0,403.0,11434.0,,287.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
JPN,,211997.0,15867.0,8127.0,624.0,6451.0,,266.0,126529100,3.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,47.22,JPN,JP,392.0,JPY,1,Japan,,,36.0,138.0,,Japan,JP
